"Date";"passenger_CdG";"passenger_orly";"movements_CdG";"movements_orly"
2000-01-01;3223328;1935261;39489;19956
2000-02-01;3289676;1942750;38386;19347
2000-03-01;3891206;2204640;42049;21286
2000-04-01;4221430;2266448;42931;20192
2000-05-01;4217758;2203570;43909;20921
2000-06-01;4279344;2190218;41966;19331
2000-07-01;4682912;2395534;44303;20198
2000-08-01;4576937;2154899;45145;18811
2000-09-01;4512627;2171903;43917;20476
2000-10-01;4213380;2118727;43180;20297
2000-11-01;3610865;1861737;42218;19158
2000-12-01;3526674;1950841;41063;18957
2001-01-01;3505227;1948253;42395;19830
2001-02-01;3400920;1872743;39333;18354
2001-03-01;4066319;2094897;43847;20254
2001-04-01;4426602;2225400;44161;19821
2001-05-01;4342073;2020587;45577;19367
2001-06-01;4602279;2095587;44551;18276
2001-07-01;4869487;2146829;46621;18172
2001-08-01;4736095;1991619;46594;16540
2001-09-01;4107563;1907233;43774;17207
2001-10-01;3578556;1670116;42884;16896
2001-11-01;3149993;1522291;39340;16166
2001-12-01;3212062;1533181;36039;14683
2002-01-01;3320994;1595173;39185;16142
2002-02-01;3304325;1616236;36443;14909
2002-03-01;4086380;1860651;41099;16674
2002-04-01;4141291;2062222;42036;18222
2002-05-01;4124210;1934417;43225;17909
2002-06-01;4270209;2060241;41661;17547
2002-07-01;4639806;2245018;45742;19240
2002-08-01;4681001;2130851;44947;17412
2002-09-01;4328482;1993671;41954;17908
2002-10-01;4296317;1975169;44201;18137
2002-11-01;3520838;1767232;39938;16412
2002-12-01;3644846;1931758;41116;17138
2003-01-01;3494418;1845555;40961;17702
2003-02-01;3410732;1591351;37870;14459
2003-03-01;3832233;1748066;42950;15755
2003-04-01;3759848;1850227;40503;15950
2003-05-01;3780121;1664644;40728;15221
2003-06-01;4192681;1952030;41634;16651
2003-07-01;4673988;2149971;45444;18571
2003-08-01;4864305;2151676;45369;17833
2003-09-01;4430603;1958027;44200;18510
2003-10-01;4320800;1959126;44183;18598
2003-11-01;3662209;1715991;40811;16606
2003-12-01;3798498;1870373;40981;17038
2004-01-01;3640364;1799103;41028;17596
2004-02-01;3606091;1659571;39581;15069
2004-03-01;4015074;1954291;42761;17997
2004-04-01;4359528;2101677;42452;18541
2004-05-01;4408825;2043399;43906;18782
2004-06-01;4557750;2157176;43754;19039
2004-07-01;4967719;2343807;46098;19707
2004-08-01;4975468;2228437;46187;18800
2004-09-01;4616924;2049279;44788;19429
2004-10-01;4514630;2014134;44790;19198
2004-11-01;3729120;1790784;40706;17494
2004-12-01;3868870;1911557;40374;17146
2005-01-01;3835914;1918738;41175;18459
2005-02-01;3588782;1732487;37888;16272
2005-03-01;4266817;2000842;41602;17983
2005-04-01;4438272;2124554;43029;18990
2005-05-01;4715297;2157679;44549;19222
2005-06-01;4809002;2230413;43830;19454
2005-07-01;5294649;2447746;45843;19954
2005-08-01;5194319;2258855;45905;18295
2005-09-01;4847621;2122202;44072;19611
2005-10-01;4642587;2014775;43538;18781
2005-11-01;4047140;1861344;40997;18022
2005-12-01;4117908;1990897;41246;17835
2006-01-01;4064277;1958359;41894;18816
2006-02-01;3795174;1787166;38406;16884
2006-03-01;4363630;2039569;43176;19124
2006-04-01;4911753;2268977;44146;19186
2006-05-01;4980536;2190009;46444;19821
2006-06-01;5104143;2284204;45726;19892
2006-07-01;5552614;2487682;47638;20040
2006-08-01;5379817;2290540;47187;18470
2006-09-01;5107996;2170432;45904;19685
2006-10-01;4929760;2130974;46084;19978
2006-11-01;4251971;1951011;43299;18897
2006-12-01;4407896;2063229;43057;18578
2007-01-01;4289213;2010163;43617;19360
2007-02-01;3957925;1886294;39904;17985
2007-03-01;4815426;2258969;44982;20187
2007-04-01;5119473;2267119;44817;19271
2007-05-01;5040919;2177926;46517;19886
2007-06-01;5320459;2356630;46399;20082
2007-07-01;5917760;2622614;48703;20933
2007-08-01;5868420;2418853;48593;18956
2007-09-01;5419072;2255033;46834;19951
2007-10-01;4999492;2115345;45514;19502
2007-11-01;4528585;2004732;43976;18656
2007-12-01;4645433;2067058;43954;18222
2008-01-01;4391679;2025901;44079;19486
2008-02-01;4186589;1865103;41868;17297
2008-03-01;4976382;2257174;44981;19708
2008-04-01;5176902;2269382;46899;20022
2008-05-01;5405266;2300031;48428;19770
2008-06-01;5473046;2349292;47838;19861
2008-07-01;5967058;2537448;49842;20880
2008-08-01;5980185;2443114;48995;18791
2008-09-01;5265281;2132800;47066;19768
2008-10-01;5167089;2156844;47289;19603
2008-11-01;4361439;1863066;41642;17184
2008-12-01;4523765;2009548;42247;17797
2009-01-01;4108470;1810433;41081;17181
2009-02-01;3817784;1748468;38603;16479
2009-03-01;4525082;2006261;44692;18811
2009-04-01;5081012;2242692;44621;19451
2009-05-01;5024978;2195528;45405;19215
2009-06-01;5115551;2259089;44831;19451
2009-07-01;5713321;2534259;46275;20389
2009-08-01;5715340;2417076;45021;18085
2009-09-01;5043442;2059538;43766;19045
2009-10-01;5070406;2012347;44361;18044
2009-11-01;4267921;1876747;40080;17461
2009-12-01;4423559;1945255;39282;16994
2010-01-01;4154249;1758217;38743;16253
2010-02-01;3821563;1691345;35750;15046
2010-03-01;4654929;2088877;42040;18851
2010-04-01;4062475;1860824;35151;16381
2010-05-01;5199610;2262130;43271;19529
2010-06-01;5244612;2296871;43204;19726
2010-07-01;5896243;2604672;45385;19965
2010-08-01;5826513;2417268;45262;18048
2010-09-01;5300608;2169181;42909;19144
2010-10-01;5261741;2156810;43080;18218
2010-11-01;4417623;1942882;40046;17845
2010-12-01;4325868;1954892;37092;16639
2011-01-01;4317169;1921180;39701;17911
2011-02-01;3999222;1839371;37100;16702
2011-03-01;4660846;2137425;42338;19397
2011-04-01;5155777;2401657;42421;19500
2011-05-01;5293969;2361430;44184;20453
2011-06-01;5410429;2478508;43324;19965
2011-07-01;6132084;2762221;45628;20503
2011-08-01;5890112;2470640;45428;18277
2011-09-01;5550103;2371745;44005;20356
2011-10-01;5330769;2253578;43522;19398
2011-11-01;4514458;2000135;39309;18172
2011-12-01;4715613;2141186;39928;17900
2012-01-01;4458793;1972414;38993;17562
2012-02-01;4142553;1869580;36426;16935
2012-03-01;4938041;2200108;41312;19471
2012-04-01;5305048;2344099;40962;18715
2012-05-01;5286761;2319366;42419;19953
2012-06-01;5535053;2435183;42362;20539
2012-07-01;6080563;2776277;44109;21289
2012-08-01;5909887;2562799;43610;18834
2012-09-01;5525591;2395961;42321;20635
2012-10-01;5216630;2237025;42090;20204
2012-11-01;4563344;2037691;38368;18218
2012-12-01;4649670;2081760;38373;18203
2013-01-01;4325334;1910225;36835;16941
2013-02-01;4076931;1829583;34988;16701
2013-03-01;5033543;2258575;38982;18698
2013-04-01;5140134;2398610;39443;19892
2013-05-01;5418775;2545308;41414;20433
2013-06-01;5533558;2553553;39799;19883
2013-07-01;6051339;2770329;43102;21133
2013-08-01;6131642;2716934;42607;19205
2013-09-01;5578340;2508495;41212;20831
2013-10-01;5391470;2432921;40685;19808
2013-11-01;4558562;2109139;36325;18090
2013-12-01;4813289;2240482;36813;18039
2014-01-01;4556035;2029285;36027;16692
2014-02-01;4216597;1978478;33546;16565
2014-03-01;5033255;2321304;38170;18865
2014-04-01;5519582;2517329;39695;19725
2014-05-01;5591034;2504950;41384;20086
2014-06-01;5874880;2682017;41141;20365
2014-07-01;6287309;2762393;43200;21179
2014-08-01;6514627;2794472;43271;19666
2014-09-01;4893846;2353238;35547;19102
2014-10-01;5637255;2530481;40510;20226
2014-11-01;4686901;2113475;35973;17569
2014-12-01;5002435;2275164;36776;18014
2015-01-01;4667194;2053978;35699;16956
2015-02-01;4349263;2020867;33142;16389
2015-03-01;5096452;2353023;37692;19061
2015-04-01;5416512;2491515;38096;19058
2015-05-01;5806765;2629830;41142;20154
2015-06-01;5960323;2643312;41353;20620
2015-07-01;6571918;2908625;43685;21496
2015-08-01;6688308;2941253;43451;20424
2015-09-01;5927831;2659612;41399;21065
2015-10-01;5823148;2674189;40991;20417
2015-11-01;4624580;2052882;35814;17500
2015-12-01;4834692;2235907;36874;17974
2016-01-01;4686800;2094950;35232;16582
2016-02-01;4467282;2130961;33888;16989
2016-03-01;5136299;2417867;37671;18528
2016-04-02;5531559;2700933;39527;20279
2016-05-01;5741895;2811598;41737;21288
2016-06-01;5728404;2727805;40880;20474
2016-07-01;6511270;3102932;43214;21707
2016-08-01;6530228;2947847;44203;20466
2016-09-01;5814769;2754505;41854;21484
2016-10-01;5751186;2796534;41428;20985
2016-11-01;4834357;2259212;36168;17581
2016-12-01;5199096;2492721;37148;18090
2017-01-01;4973487;2296077;36076;17099
2017-02-01;4624604;2250250;33368;16582
2017-03-01;5301718;2536176;38010;18520
2017-04-01;5963409;2856802;40348;19970
2017-05-01;5956489;2833463;41909;21095
2017-06-01;6112369;2788641;41413;20477
2017-07-31;6863173;3162441;43560;21251
2017-08-01;6857081;2978148;44045;19406
2017-09-01;6204239;2764747;41705;20358
2017-10-01;6039125;2812354;41400;20226
2017-11-01;5153221;2309281;36572;16918
2017-12-01;5422527;2454095;37248;17125
2018-01-01;5215817;2384244;36606;17343
2018-02-01;4747428;2187979;33193;15258
2018-03-01;5625819;2641309;38053;18178
2018-04-01;5754415;2960101;37783;19454
2018-05-01;6082029;2893531;41151;20342
2018-06-01;6499280;2938360;42029;20224
2018-07-01;7151411;3244807;44800;21455
2018-08-01;7163134;3085004;45144;20146
2018-09-01;6505326;2897315;42672;20934
2018-10-01;6380934;3000497;42530;21007
2018-11-01;5481356;2384650;38037;17136
2018-12-01;5622774;2502888;38947;17575
2019-01-01;5366909;2375698;37591;17120
2019-02-01;5078698;2212314;34782;15322
2019-03-01;6019796;2667524;39641;18086
2019-04-01;6494711;2947358;42065;20143
2019-05-01;6460225;2769561;43354;19830
2019-06-01;6916703;3010433;43597;20229
2019-07-01;7428142;3107051;46292;20723
2019-08-01;7474058;2924869;46475;18708
2019-09-01;6818880;2623390;44377;18449
2019-10-01;6645474;2628449;43769;17907
2019-11-01;5662267;2271164;37867;15957
2019-12-01;5784144;2315238;38365;15875
2020-01-01;5520777;2317696;37387;16433
2020-02-01;5070601;2241452;35250;15472
2020-03-01;2501554;1112047;23007;9409
2020-04-01;128151;6;3752;13
2020-05-01;203387;8;5067;67
2020-06-01;625059;52051;8882;384
2020-07-01;1728520;681728;18247;5194
2020-08-01;2140157;1106137;22302;8271
2020-09-01;1354738;1048759;18076;9220
2020-10-01;1215194;1044307;16250;8675
2020-11-01;632756;358168;10931;3667
2020-12-01;1136575;834746;13158;6219
2021-01-01;1197320;879233;13770;6835
2021-02-01;798900;463702;11711;4539
2021-03-01;898498;430614;13491;4414
2021-04-01;914927;395337;13851;4310
2021-05-01;1121796;764829;14855;6828
2021-06-01;1687429;1173880;18371;9438
2021-07-01;3053552;2006017;26929;14511
2021-08-01;3549884;2241980;28832;15201
2021-09-01;2903201;1830116;25228;12970
2021-10-01;3231282;1956181;26308;13314
2021-11-01;3350775;1845975;27573;13228
2021-12-01;3489011;1736716;29192;12969
2022-01-01;2723339;1320539;24840;10954
2022-02-01;2932194;1612358;23522;11741
2022-03-01;3906813;2060056;29420;14806
2022-04-01;4599895;2333657;33141;16224
2022-05-01;5226869;2588960;36461;17084
2022-06-01;5449595;2697825;36724;17734
2022-07-01;6017614;3075016;38688;19148
2022-08-01;6020196;3134012;39403;19037
2022-09-01;5366347;2763035;36393;18308
2022-10-01;5414629;2805028;36359;18436
2022-11-01;4731111;2295519;33239;15838
2022-12-01;5088117;2500891;34657;16476
2022-01-01;4717198;2199764;33153;14619
2022-02-01;4480582;2228730;30772;14370
2023-03-01;5112636;2305568;34669;14181
2023-04-01;5487463;2682217;36871;17100
2023-05-01;5920635;2954051;39594;18691
2023-06-01;6059590;2946539;39188;18493
